Driving event,Initial battery charge (%),Final battery charge (%),Depth of Discharge (%),Range (miles),Range unc (miles),Fuel economy (kWh/mile),Fuel economy unc (kWh/mile),RMSE
2,94.96,17.43,77.53,444.5129254364225,0.4161992894246099,1.9017193294985344,0.0063679790568397995,1.789886244034889
9,97.95,20.065,77.885,445.7724949366887,0.25663934445285685,1.8913938756908908,0.006333403884478912,1.30150054183584
13,98.175,30.795,67.38,534.7596203943142,1.553547837416402,1.6079450783142217,0.005384264872542269,7.901222212749723
15,90.13,31.575,58.55499999999999,417.1889104063216,1.0798509726988015,1.9063088582044583,0.0063833472671885865,4.191052914689046
24,69.795,4.825,64.97,229.68915723027646,3.231485293886592,3.084382493058483,0.010328171362836685,12.752952576266136
33,97.875,20.125,77.75,488.2962103278902,0.9186655500174992,1.6615913606686512,0.005563901476751578,4.8751437639040205
