Time (s),Vehicle speed (km/h),Road grade (%),Cumulative distance (m)
0.0,11.002324425108764,0.0,0.0
1.0,11.002324425108764,0.0,3.056201229570406
2.0,11.002324425108764,0.0,6.112402458408969
3.0,11.002324425108764,0.0,9.16860368651569
4.0,11.002324425108764,0.0,12.224804916086095
5.0,11.002324425108764,0.0,15.281006144924659
6.0,11.002324425108764,0.0,18.33720737376322
7.0,11.002324425108764,0.0,21.393408602601784
8.0,11.002324425108764,0.0,24.44960983144035
9.0,11.002324425108764,0.0,27.50581106027891
10.0,13.002747047855811,0.0,30.839848765131745
11.0,13.002747047855811,0.0,34.45172294526701
12.0,13.002747047855811,0.0,38.06359712467043
13.0,13.002747047855811,0.0,41.675471305537535
14.0,13.002747047855811,0.0,45.2873454856728
15.0,13.002747047855811,0.0,48.899219666539906
16.0,13.002747047855811,0.0,52.51109384667517
17.0,13.002747047855811,0.0,56.122968026078595
18.0,13.002747047855811,0.0,59.734842206213855
19.0,11.002324425108764,0.0,63.06887991179854
20.0,10.00211311373524,0.0,65.9861629033618
21.0,10.00211311373524,0.0,68.7645276561861
22.0,10.00211311373524,0.0,71.54289240901039
23.0,10.00211311373524,0.0,74.32125716256652
24.0,8.001690490988192,0.0,76.82178544157208
25.0,6.001267868241144,0.0,78.76664076928091
26.0,6.001267868241144,0.0,80.43365962170733
27.0,6.001267868241144,0.0,82.10067847413376
28.0,6.001267868241144,0.0,83.76769732656017
29.0,6.001267868241144,0.0,85.43471617898659
30.0,6.001267868241144,0.0,87.101735031413
30.0,6.001267868241144,0.0,88.76875388383942
31.000000000000004,6.001267868241144,0.0,90.43577273626585
32.0,6.001267868241144,0.0,92.10279158869226
33.0,6.001267868241144,0.0,93.76981044111868
34.0,6.001267868241144,0.0,95.43682929354509
35.0,8.001690490988192,0.0,97.38168462198578
36.0,8.001690490988192,0.0,99.60437642424522
37.0,8.001690490988192,0.0,101.8270682272365
38.0,10.00211311373524,0.0,104.32759650624205
39.0,10.00211311373524,0.0,107.10596125906633
40.0,10.00211311373524,0.0,109.88432601262247
41.0,10.00211311373524,0.0,112.66269076691044
42.0,10.00211311373524,0.0,115.44105551973473
43.0,10.00211311373524,0.0,118.21942027329086
44.0,10.00211311373524,0.0,120.997785026847
45.0,10.00211311373524,0.0,123.77614978040313
46.004,10.00211311373524,0.0,126.56562799373168
47.0,10.00211311373524,0.0,129.3328792875154
48.0,10.00211311373524,0.0,132.11124404107153
49.0,8.001690490988192,0.0,134.61177231934525
50.0,8.001690490988192,0.0,136.83446412306836
51.0,8.001690490988192,0.0,139.05715592532778
52.0,6.001267868241144,0.0,141.00201125230478
53.0,6.001267868241144,0.0,142.6690301061949
54.0,6.001267868241144,0.0,144.33604895788946
55.0,6.001267868241144,0.0,146.00306781104774
56.0,6.001267868241144,0.0,147.6700866627423
57.0,6.001267868241144,0.0,149.33710551516873
58.0,8.001690490988192,0.0,151.28196084360943
59.0,8.001690490988192,0.0,153.50465264586884
60.0,8.001690490988192,0.0,155.72734444886012
61.0,8.001690490988192,0.0,157.95003625258323
62.00000000000001,8.001690490988192,0.0,160.17272805484268
63.0,8.001690490988192,0.0,162.3954198571021
64.0,8.001690490988192,0.0,164.61811166082524
65.0,8.001690490988192,0.0,166.8408034638165
66.0,8.001690490988192,0.0,169.06349526753962
67.004,8.001690490988192,0.0,171.29507783717787
68.0,8.001690490988192,0.0,173.50887887279032
69.0,8.001690490988192,0.0,175.7315706743179
70.0,8.001690490988192,0.0,177.95426247657736
71.0,6.001267868241144,0.0,179.89911780648174
72.0,6.001267868241144,0.0,181.56613665890814
73.0,5.00105655686762,0.0,183.09423727332742
74.0,3.000633934120572,0.0,184.20558317592082
75.0,2.000422622747048,0.0,184.90017436376098
76.0,0.0,0.0,185.17801083831156
77.0,2.000422622747048,0.0,185.455847313594
78.0,2.000422622747048,0.0,186.0115202648907
79.0,2.000422622747048,0.0,186.56719321545555
80.0,2.000422622747048,0.0,187.1228661660204
81.0,2.000422622747048,0.0,187.67853911658528
82.0,2.000422622747048,0.0,188.23421206715014
83.0,3.000633934120572,0.0,188.92880325572213
84.0,3.000633934120572,0.0,189.7623126815694
85.0,3.000633934120572,0.0,190.5958221074167
86.0,3.000633934120572,0.0,191.429331533264
87.0,3.000633934120572,0.0,192.26284095837943
88.0,3.000633934120572,0.0,193.0963503856904
89.0,3.000633934120572,0.0,193.92985981080585
90.0,3.000633934120572,0.0,194.76336923665312
90.0,3.000633934120572,0.0,195.59687866469594
91.0,2.000422622747048,0.0,196.2914698510724
92.0,0.0,0.0,196.56930632635485
93.0,2.000422622747048,0.0,196.84714280163726
94.0,3.000633934120572,0.0,197.54173399020928
95.0,3.000633934120572,0.0,198.37524341605655
96.0,3.000633934120572,0.0,199.20875284190384
97.0,2.000422622747048,0.0,199.90334403047584
98.0,0.0,0.0,200.1811805064901
99.0,2.000422622747048,0.0,200.45901698177255
100.0,2.000422622747048,0.0,201.01468993160555
101.0,2.000422622747048,0.0,201.5703628821704
102.0,2.000422622747048,0.0,202.12603583273525
103.0,2.000422622747048,0.0,202.68170878403197
104.0,2.000422622747048,0.0,203.23738173313313
105.0,2.000422622747048,0.0,203.79305468442985
106.0,2.000422622747048,0.0,204.34872763426287
107.0,2.000422622747048,0.0,204.90440058555956
108.0,2.000422622747048,0.0,205.46007353539258
109.0,2.000422622747048,0.0,206.01574648668927
110.0,2.000422622747048,0.0,206.57141943725412
111.0,2.000422622747048,0.0,207.127092387819
112.0,2.000422622747048,0.0,207.68276533838386
113.004,2.000422622747048,0.0,208.24066098061044
114.0,2.000422622747048,0.0,208.79411123951357
115.0,0.0,0.0,209.07194771479598
131.0,0.0,0.0,209.07194771479598
132.0,2.000422622747048,0.0,209.34978419007842
133.0,0.0,0.0,209.62762066536087
134.0,2.000422622747048,0.0,209.90545714064328
135.0,0.0,0.0,210.18329361592572
290.0,0.0,0.0,210.18329361592572
291.0,2.000422622747048,0.0,210.46113009120813
292.0,2.000422622747048,0.0,211.016803041773
293.0,2.000422622747048,0.0,211.57247599233787
294.0,2.000422622747048,0.0,212.12814894290273
295.0,0.0,0.0,212.40598541818514
549.0,0.0,0.0,212.40598541818514
