Time (s),Vehicle speed (km/h),Road grade (%)
0.0,26.005494095711622,0.0
1.0,31.006550652579243,0.0
2.0,31.006550652579243,0.0
3.0,34.007184586699815,0.0
4.0,34.007184586699815,0.0
5.0,27.00570540708515,0.0
6.0,27.00570540708515,0.0
7.0,27.00570540708515,0.0
8.0,29.006128029832194,0.0
9.0,34.007184586699815,0.0
10.0,34.007184586699815,0.0
11.0,35.00739589807334,0.0
12.0,34.007184586699815,0.0
13.0,29.006128029832194,0.0
14.0,29.006128029832194,0.0
15.0,27.00570540708515,0.0
16.0,27.00570540708515,0.0
17.0,31.006550652579243,0.0
18.0,34.007184586699815,0.0
19.0,34.007184586699815,0.0
20.0,37.007818520820386,0.0
21.0,42.008875077688,0.0
22.0,42.008875077688,0.0
23.0,42.008875077688,0.0
24.0,42.008875077688,0.0
25.0,40.00845245494096,0.0
26.0,40.00845245494096,0.0
27.0,32.006761963952776,0.0
28.0,32.006761963952776,0.0
29.0,27.00570540708515,0.0
30.0,27.00570540708515,0.0
30.0,27.00570540708515,0.0
31.000000000000004,26.005494095711622,0.0
32.0,24.005071472964573,0.0
33.0,23.004860161591054,0.0
34.0,23.004860161591054,0.0
35.0,19.004014916096956,0.0
36.0,19.004014916096956,0.0
37.0,16.00338098197638,0.0
38.0,14.002958359229336,0.0
39.0,14.002958359229336,0.0
40.0,13.002747047855811,0.0
41.0,14.002958359229336,0.0
42.0,18.00380360472343,0.0
43.0,27.00570540708515,0.0
44.0,27.00570540708515,0.0
45.0,27.00570540708515,0.0
46.0,27.00570540708515,0.0
47.0,29.006128029832194,0.0
48.0,27.00570540708515,0.0
49.0,11.002324425108764,0.0
50.0,6.001267868241144,0.0
51.0,6.001267868241144,0.0
52.0,0.0,0.0
57.0,0.0,0.0
58.0,2.000422622747048,0.0
59.0,3.000633934120572,0.0
60.0,3.000633934120572,0.0
60.0,3.000633934120572,0.0
61.0,10.00211311373524,0.0
62.00000000000001,21.004437538844,0.0
63.0,21.004437538844,0.0
64.0,31.006550652579243,0.0
65.0,31.006550652579243,0.0
66.0,37.007818520820386,0.0
67.0,42.008875077688,0.0
68.0,40.00845245494096,0.0
69.0,40.00845245494096,0.0
70.0,35.00739589807334,0.0
71.0,34.007184586699815,0.0
72.0,32.006761963952776,0.0
73.0,34.007184586699815,0.0
74.0,34.007184586699815,0.0
75.0,35.00739589807334,0.0
76.0,35.00739589807334,0.0
77.0,31.006550652579243,0.0
78.0,27.00570540708515,0.0
79.0,26.005494095711622,0.0
80.0,26.005494095711622,0.0
81.0,23.004860161591054,0.0
82.0,21.004437538844,0.0
83.0,18.00380360472343,0.0
84.0,16.00338098197638,0.0
85.0,16.00338098197638,0.0
86.0,16.00338098197638,0.0
87.0,14.002958359229336,0.0
88.0,11.002324425108764,0.0
89.0,11.002324425108764,0.0
90.0,11.002324425108764,0.0
90.0,11.002324425108764,0.0
91.0,13.002747047855811,0.0
92.0,13.002747047855811,0.0
93.0,14.002958359229336,0.0
94.0,14.002958359229336,0.0
95.0,14.002958359229336,0.0
96.0,14.002958359229336,0.0
97.0,14.002958359229336,0.0
98.0,8.001690490988192,0.0
99.0,8.001690490988192,0.0
100.0,5.00105655686762,0.0
101.0,0.0,0.0
106.0,0.0,0.0
107.0,2.000422622747048,0.0
108.0,2.000422622747048,0.0
109.0,3.000633934120572,0.0
110.0,3.000633934120572,0.0
111.0,3.000633934120572,0.0
112.0,3.000633934120572,0.0
113.0,3.000633934120572,0.0
114.0,5.00105655686762,0.0
115.0,5.00105655686762,0.0
116.0,2.000422622747048,0.0
117.0,2.000422622747048,0.0
118.0,2.000422622747048,0.0
119.0,2.000422622747048,0.0
120.0,2.000422622747048,0.0
120.0,2.000422622747048,0.0
121.0,2.000422622747048,0.0
122.0,8.001690490988192,0.0
122.99999999999999,10.00211311373524,0.0
124.00000000000001,11.002324425108764,0.0
125.00000000000001,11.002324425108764,0.0
126.0,11.002324425108764,0.0
127.0,11.002324425108764,0.0
128.0,14.002958359229336,0.0
129.0,14.002958359229336,0.0
130.0,14.002958359229336,0.0
131.0,14.002958359229336,0.0
132.0,13.002747047855811,0.0
133.0,13.002747047855811,0.0
134.0,14.002958359229336,0.0
135.0,19.004014916096956,0.0
136.0,19.004014916096956,0.0
