,Name,Charging Power (kW),Energy per Month (MWh) [optimistic],Energy per Month (MWh) [pessimistic],Demand charge ($/kW) [optimistic],Demand charge ($/kW) [pessimistic],Energy charge ($/kWh) [optimistic],Energy charge ($/kWh) [pessimistic],Capital cost [baseline],Capital cost [optimistic],Capital cost [pessimistic],Fixed charge [baseline],Fixed charge [optimistic],Fixed charge [pessimistic],Energy charge [baseline],Energy charge [optimistic],Energy charge [pessimistic],Demand charge [baseline],Demand charge [optimistic],Demand charge [pessimistic],Total [baseline],Total [optimistic],Total [pessimistic]
0,Nominal,150,51.45,17.15,6,20,0.1,0.15,0.07997944146641175,0.027878403464584714,0.13208047946823878,0.003109815354713314,0.00038872691933916425,0.0058309037900874635,0.1358695652173913,0.10869565217391304,0.16304347826086954,0.09620991253644315,0.01749271137026239,0.1749271137026239,0.31516873457495953,0.15445549392809932,0.47588197522181974
1,PepsiCo Tesla Semi (central),750,31.4,31.4,6,20,0.1,0.15,0.0589096191263245,0.04567974070869056,0.07213949754395844,0.001910828025477707,0.0006369426751592356,0.0031847133757961785,0.1358695652173913,0.10869565217391304,0.16304347826086954,0.3105095541401274,0.14331210191082802,0.47770700636942676,0.5071995665093209,0.29832443746859083,0.716074695550051
2,PepsiCo Tesla Semi (up),750,34.4,34.4,6,20,0.1,0.15,0.053772152342052015,0.0416960423910722,0.06584826229303184,0.0017441860465116279,0.0005813953488372093,0.0029069767441860465,0.1358695652173913,0.10869565217391304,0.16304347826086954,0.28343023255813954,0.1308139534883721,0.436046511627907,0.47481613616409446,0.2817870434021945,0.6678452289259944
3,PepsiCo Tesla Semi (down),750,28.4,28.4,6,20,0.1,0.15,0.06513246621713342,0.05050506543143956,0.07975986700282729,0.0021126760563380284,0.0007042253521126761,0.0035211267605633804,0.1358695652173913,0.10869565217391304,0.16304347826086954,0.34330985915492956,0.15845070422535212,0.528169014084507,0.5464245666457923,0.3183556471828174,0.7744934861087672
