Time (s),Vehicle speed (km/h),Road grade (%),Cumulative distance (m)
0.0,0.0,0.0,0.0
1.0,6.001267868241144,0.0,0.8335094265791303
2.0,8.001690490988192,0.0,2.778364754287977
3.0,10.00211311373524,0.0,5.278893032561681
4.0,11.002324425108764,0.0,8.196176024124952
5.0,11.002324425108764,0.0,11.252377252963514
6.0,14.002958359229336,0.0,14.725333195091643
7.0,14.002958359229336,0.0,18.615043850509338
8.0,16.00338098197638,0.0,22.78259098120946
9.0,18.00380360472343,0.0,27.50581106247444
10.0,19.004014916096956,0.0,32.64578585702898
11.0,21.004437538844,0.0,38.20251536487309
12.0,23.004860161591054,0.0,44.31491782474575
13.0,23.004860161591054,0.0,50.705156756973466
14.0,21.004437538844,0.0,56.81755921538243
15.0,21.004437538844,0.0,62.652125199240814
16.0,21.004437538844,0.0,68.4866911816355
17.0,21.004437538844,0.0,74.32125716476205
18.0,21.004437538844,0.0,80.1558231478886
19.0,21.004437538844,0.0,85.99038913101514
20.0,21.004437538844,0.0,91.82495511414167
21.0,21.004437538844,0.0,97.65952109726821
22.0,18.00380360472343,0.0,103.07733236710519
23.0,18.00380360472343,0.0,108.0783889236526
24.0,16.00338098197638,0.0,112.80160900491758
25.0,10.00211311373524,0.0,116.41348318505284
26.0,10.00211311373524,0.0,119.19184793860897
27.0,8.001690490988192,0.0,121.69237621688268
28.0,8.001690490988192,0.0,123.91506801987396
29.0,8.001690490988192,0.0,126.13775982286523
30.0,10.00211311373524,0.0,128.63828810113893
31.000000000000004,10.00211311373524,0.0,131.41665285469506
32.0,10.00211311373524,0.0,134.1950176082512
33.0,11.002324425108764,0.0,137.11230059981446
34.0,11.002324425108764,0.0,140.16850182865304
35.0,11.002324425108764,0.0,143.22470305822344
36.0,11.002324425108764,0.0,146.28090428633016
37.0,10.00211311373524,0.0,149.19818727789342
38.0,11.002324425108764,0.0,152.1154702694567
39.0,11.002324425108764,0.0,155.17167149829527
40.0,13.002747047855811,0.0,158.5057092031481
41.0,13.002747047855811,0.0,162.11758338328337
42.0,14.002958359229336,0.0,165.8683758006939
43.0,19.004014916096956,0.0,170.4526776446836
44.0,19.004014916096956,0.0,175.7315706772453
45.0,21.004437538844,0.0,181.2883001850894
46.0,21.004437538844,0.0,187.12286616821595
47.0,21.004437538844,0.0,192.9574321513425
48.0,21.004437538844,0.0,198.79199813446903
49.0,21.004437538844,0.0,204.62656411759556
50.0,19.004014916096956,0.0,210.18329362543966
51.0,18.00380360472343,0.0,215.3232684199942
52.0,18.00380360472343,0.0,220.32432497654162
53.0,18.00380360472343,0.0,225.32538153308903
54.0,18.00380360472343,0.0,230.3264380903683
55.0,18.00380360472343,0.0,235.32749464618385
56.0,18.00380360472343,0.0,240.32855120273126
57.0,14.002958359229336,0.0,244.77393480871382
57.0,14.002958359229336,0.0,249.21931841469637
58.0,13.002747047855811,0.0,252.97011083210694
59.0,11.002324425108764,0.0,256.30414853695976
60.0,10.00211311373524,0.0,259.22143152852306
61.0,10.00211311373524,0.0,261.99979628207916
62.00000000000001,10.00211311373524,0.0,264.7781610356353
63.0,10.00211311373524,0.0,267.5565257891914
64.0,10.00211311373524,0.0,270.3348905420157
65.0,8.001690490988192,0.0,272.8354188210213
66.0,0.0,0.0,273.946764722151
68.0,0.0,0.0,273.946764722151
69.0,3.000633934120572,0.0,274.3635194361724
70.0,3.000633934120572,0.0,275.1970288620197
71.0,5.00105655686762,0.0,276.30837476461306
72.0,5.00105655686762,0.0,277.69755714102524
73.0,5.00105655686762,0.0,279.0867395181692
74.0,3.000633934120572,0.0,280.1980854200308
75.0,3.000633934120572,0.0,281.0315948458781
76.0,3.000633934120572,0.0,281.86510427172533
77.0,3.000633934120572,0.0,282.6986136975726
78.0,3.000633934120572,0.0,283.5321231234199
79.0,3.000633934120572,0.0,284.3656325499991
80.0,2.000422622747048,0.0,285.06022373783924
81.0,2.000422622747048,0.0,285.61589668840406
82.0,3.000633934120572,0.0,286.3104878769761
83.0,3.000633934120572,0.0,287.1439973028233
84.0,3.000633934120572,0.0,287.9775067286706
85.0,2.000422622747048,0.0,288.67209791724264
86.0,2.000422622747048,0.0,289.22777086780746
87.0,2.000422622747048,0.0,289.78344381837235
87.0,2.000422622747048,0.0,290.3391167682054
88.0,0.0,0.0,290.61695324421964
91.0,0.0,0.0,290.61695324421964
92.0,2.000422622747048,0.0,290.89478971950206
93.0,2.000422622747048,0.0,291.45046267006694
94.0,2.000422622747048,0.0,292.00613562063177
95.0,2.000422622747048,0.0,292.56180857119665
96.0,0.0,0.0,292.83964504647906
391.0,0.0,0.0,292.83964504647906
392.0,2.000422622747048,0.0,293.1174815217615
393.0,2.000422622747048,0.0,293.67315447232636
394.0,2.000422622747048,0.0,294.2288274228912
395.0,2.000422622747048,0.0,294.78450037345607
396.0,3.000633934120572,0.0,295.4790915627599
397.0,3.000633934120572,0.0,296.3126009878753
398.0,3.000633934120572,0.0,297.1461104137226
399.0,5.00105655686762,0.0,298.2574563155842
400.0,5.00105655686762,0.0,299.6466386919963
401.0,5.00105655686762,0.0,301.03582106987216
402.0,5.00105655686762,0.0,302.42500344628434
403.0,5.00105655686762,0.0,303.814185824892
404.0,5.00105655686762,0.0,305.20336820130416
405.0,5.00105655686762,0.0,306.59255057844814
406.0,5.00105655686762,0.0,307.9817329555921
407.0,6.001267868241144,0.0,309.5098335700114
408.0,6.001267868241144,0.0,311.17685242243783
409.0,10.00211311373524,0.0,313.3995442254291
410.0,11.002324425108764,0.0,316.3168272162605
411.0,14.002958359229336,0.0,319.7897831605842
412.0,16.00338098197638,0.0,323.9573302898206
413.0,19.004014916096956,0.0,328.8194686090927
414.0,19.004014916096956,0.0,334.09836164165444
415.0,21.004437538844,0.0,339.6550911494985
416.0,21.004437538844,0.0,345.48965713262504
417.0,21.004437538844,0.0,351.3242231157516
418.0,21.004437538844,0.0,357.1587890988781
419.0,21.004437538844,0.0,362.99335508200465
420.0,21.004437538844,0.0,368.82792106513125
421.0,21.004437538844,0.0,374.6624870482578
422.0,21.004437538844,0.0,380.4970530313843
423.0,23.004860161591054,0.0,386.6094554897933
424.0,23.004860161591054,0.0,392.99969442348464
