Time (s),Vehicle speed (km/h),Road grade (%),Cumulative distance (m)
0.0,0.0,0.0,0.0
1.0,3.000633934120572,0.0,0.41675471292364363
2.0,6.001267868241144,0.0,1.667018852060496
3.0,10.00211311373524,0.0,3.889710655051772
4.0,10.00211311373524,0.0,6.668075408973827
5.0,11.002324425108764,0.0,9.585358400171176
6.0,11.002324425108764,0.0,12.641559629741582
7.0,13.002747047855811,0.0,15.975597334228496
8.0,14.002958359229336,0.0,19.726389752004973
9.0,14.002958359229336,0.0,23.616100407422667
10.0,16.00338098197638,0.0,27.78364753848871
11.0,18.00380360472343,0.0,32.50686761975369
12.0,18.00380360472343,0.0,37.507924176667025
13.0,18.00380360472343,0.0,42.50898073358035
14.0,19.004014916096956,0.0,47.6489555281349
15.0,19.004014916096956,0.0,52.92784856033066
16.0,21.004437538844,0.0,58.48457806780885
17.0,21.004437538844,0.0,64.31914405093539
18.0,21.004437538844,0.0,70.15371003406193
19.0,21.004437538844,0.0,75.98827601718847
20.0,21.004437538844,0.0,81.822842000315
21.0,19.004014916096956,0.0,87.3795715077932
22.0,19.004014916096956,0.0,92.65846453998896
23.0,19.004014916096956,0.0,97.93735757255064
24.0,19.004014916096956,0.0,103.21625060438048
25.0,18.00380360472343,0.0,108.35622539893502
26.0,18.00380360472343,0.0,113.35728195584835
27.0,18.00380360472343,0.0,118.35833851276169
28.0,18.00380360472343,0.0,123.35939506967502
29.0,18.00380360472343,0.0,128.36045162658834
30.0,19.004014916096956,0.0,133.5004264211429
31.000000000000004,21.004437538844,0.0,139.05715592862109
32.0,21.004437538844,0.0,144.89172191174762
33.0,21.004437538844,0.0,150.72628789487416
34.0,21.004437538844,0.0,156.5608538780007
35.0,21.004437538844,0.0,162.39541986112724
36.0,21.004437538844,0.0,168.22998584425378
37.0,21.004437538844,0.0,174.0645518273803
38.0,21.004437538844,0.0,179.89911781050685
39.0,21.004437538844,0.0,185.73368379363342
40.0,19.004014916096956,0.0,191.29041330111158
41.0,19.004014916096956,0.0,196.56930633367327
42.0,19.004014916096956,0.0,201.84819936550312
43.0,19.004014916096956,0.0,207.12709239769887
44.0,19.004014916096956,0.0,212.40598542989463
45.0,18.00380360472343,0.0,217.54596022444917
46.0,14.002958359229336,0.0,221.99134383043173
47.0,14.002958359229336,0.0,225.88105448584943
48.0,14.002958359229336,0.0,229.7707651412671
49.0,16.00338098197638,0.0,233.93831227233315
50.0,16.00338098197638,0.0,238.3836958779498
51.0,16.00338098197638,0.0,242.82907948393233
52.0,16.00338098197638,0.0,247.2744630899149
53.0,16.00338098197638,0.0,251.71984669589744
54.0,18.00380360472343,0.0,256.4430667775284
55.0,18.00380360472343,0.0,261.44412333444166
56.0,18.00380360472343,0.0,266.445179891355
56.0,18.00380360472343,0.0,271.44623644826834
57.0,16.00338098197638,0.0,276.16945652989926
58.0,16.00338098197638,0.0,280.6148401358818
59.0,13.002747047855811,0.0,284.64346902894073
