Time (s),Vehicle speed (km/h),Road grade (%),Cumulative distance (m)
0.0,0.0,0.0,0.0
1.0,2.000422622747048,0.0,0.27783647418466445
2.0,2.000422622747048,0.0,0.8335094254813656
3.0,3.000633934120572,0.0,1.52810061405336
4.0,5.00105655686762,0.0,2.639446515183076
5.0,5.00105655686762,0.0,4.0286288926929865
6.0,8.001690490988192,0.0,5.834565982028775
7.0,10.00211311373524,0.0,8.33509426030248
8.0,11.002324425108764,0.0,11.25237725186575
9.0,11.002324425108764,0.0,14.308578481070235
10.0,14.002958359229336,0.0,17.781534423198362
11.0,14.002958359229336,0.0,21.671245077884212
12.0,16.00338098197638,0.0,25.83879220931618
13.0,18.00380360472343,0.0,30.56201229094708
14.0,18.00380360472343,0.0,35.56306884712857
15.0,19.004014916096956,0.0,40.70304364204904
16.0,21.004437538844,0.0,46.25977314989315
17.0,21.004437538844,0.0,52.09433913301969
18.0,23.004860161591054,0.0,58.206741591794575
19.0,23.004860161591054,0.0,64.59698052548598
20.0,23.004860161591054,0.0,70.98721945881145
21.0,23.004860161591054,0.0,77.37745839250285
22.0,23.004860161591054,0.0,83.76769732619425
23.0,23.004860161591054,0.0,90.15793626025157
24.0,21.004437538844,0.0,96.27033871866054
25.0,19.004014916096956,0.0,101.82706822540688
26.0,19.004014916096956,0.0,107.10596125796856
27.0,18.00380360472343,0.0,112.2459360525231
28.0,16.00338098197638,0.0,116.96915613415402
29.0,16.00338098197638,0.0,121.4145397408684
30.0,16.00338098197638,0.0,125.85992334575319
31.000000000000004,16.00338098197638,0.0,130.30530695210166
32.0,16.00338098197638,0.0,134.75069055808422
33.0,16.00338098197638,0.0,139.19607416406677
34.0,16.00338098197638,0.0,143.64145777004933
35.0,16.00338098197638,0.0,148.08684137639779
36.0,16.00338098197638,0.0,152.5322249820144
37.0,16.00338098197638,0.0,156.97760858763107
38.0,16.00338098197638,0.0,161.4229921936136
39.0,16.00338098197638,0.0,165.86837579959615
40.0,16.00338098197638,0.0,170.31375940631054
41.0,16.00338098197638,0.0,174.7591430119272
42.0,13.002747047855811,0.0,178.78777190462017
43.0,11.002324425108764,0.0,182.121809609473
44.0,8.001690490988192,0.0,184.76125612538792
45.0,8.001690490988192,0.0,186.9839479283792
46.0,10.00211311373524,0.0,189.48447620665291
47.0,10.00211311373524,0.0,192.26284096094088
48.0,8.001690490988192,0.0,194.76336924031236
49.0,8.001690490988192,0.0,196.98606104257178
50.0,11.002324425108764,0.0,199.6255075584867
51.0,14.002958359229336,0.0,203.09846350061483
52.0,14.002958359229336,0.0,206.98817415603253
53.0,16.00338098197638,0.0,211.15572128709857
54.0,16.00338098197638,0.0,215.6011048927152
55.0,16.00338098197638,0.0,220.04648849869776
56.0,14.002958359229336,0.0,224.21403562939787
57.0,14.002958359229336,0.0,228.10374628444964
58.0,14.002958359229336,0.0,231.99345694059917
59.0,14.002958359229336,0.0,235.88316759528502
59.0,14.002958359229336,0.0,239.77287825070272
60.0,14.002958359229336,0.0,243.66258890648635
61.0,14.002958359229336,0.0,247.55229956190402
62.00000000000001,14.002958359229336,0.0,251.4420102169558
63.0,16.00338098197638,0.0,255.6095573491196
