Driving event,Initial battery charge (%),Final battery charge (%),Depth of Discharge (%),Range (miles),Range unc (miles),Fuel economy (kWh/mile),Fuel economy unc (kWh/mile)
2,94.635,21.345,73.29,355.0702589758788,7.111777567019552,2.045468135187416,0.01814418800843492
7,97.87,18.765,79.105,477.7047983277984,1.2113414718344322,1.7689407666020525,0.01569127051792075
9,97.465,21.3,76.165,357.927661604591,6.134119135791581,2.094245798351402,0.018576867000512393
10,97.33,8.01,89.32,467.9669887833966,0.9194697984075529,1.755372955139588,0.015570918155640904
14,81.28,30.02,51.260000000000005,480.0644172975704,0.8306453394484943,1.694815722942491,0.015033749285907378
16,98.005,45.475,52.529999999999994,453.7145004278404,1.8712717404918762,1.8620230252627392,0.0165169504551125
18,98.19,28.295,69.895,379.5519693498562,6.832480007366604,1.9289097845002063,0.017110264970260556
22,97.145,31.62,65.52499999999999,525.4726797194095,1.0676121572651538,1.5973925742730464,0.014169563774814022
25,97.31,23.87,73.44,465.3249653421279,0.9746998090692096,1.7831162368776408,0.01581701307697787
31,81.47500000000001,30.45,51.025000000000006,491.90423932242453,0.7349230853140595,1.67743595477672,0.014879583217163475
35,99.365,31.03,68.335,482.3498296771414,1.0760039728838762,1.7505923610050278,0.015528512215759797
