Driving event,Initial battery charge (%),Final battery charge (%),Depth of Discharge (%),Range (miles),Range unc (miles),Fuel economy (kWh/mile),Fuel economy unc (kWh/mile),RMSE
8,74.915,18.33,56.58500000000001,433.90053203573524,0.7780100068845093,1.8682754335990022,0.014268604659530821,2.9138301104382123
10,98.49,12.08,86.41,495.61695277032715,0.7723693512466241,1.7186820437626353,0.013126113086357182,5.310123528379648
11,97.595,13.685,83.91,432.05942129233694,2.0252513304478477,1.8812249417928495,0.014367504109596077,12.215325161710702
13,98.575,24.805,73.77000000000001,476.67092956437733,0.49593351235683286,1.7930360692264293,0.013693978067669822,2.6651626430405204
16,97.265,16.69,80.575,530.1344244926541,0.5209854274176186,1.600819590743702,0.012225960616284802,3.331573716838899
21,96.74,36.085,60.654999999999994,515.0952633740137,0.9411317932338461,1.6449233456482024,0.01256279480647746,4.000712043385573
24,98.49,14.985,83.505,457.5588582597768,0.23808929838478107,1.8113794825516774,0.013834072460679173,1.3743250929811492
28,74.265,14.065,60.2,433.3331725959953,0.8080960405325632,1.8779156696665418,0.014342230161851587,3.174882011108093
30,98.32,10.545,87.77499999999999,476.3309448072774,0.43128673175052207,1.7355208271103562,0.013254716148954475,3.0542079270620937
32,80.735,23.99,56.745000000000005,467.44043751978177,0.9248593277704587,1.7649139844989423,0.01347920089832849,3.4473267747885807
33,93.735,13.055,80.68,476.78465626840733,0.3789422807186963,1.7355554482905111,0.013254980561751213,2.3268300692134307
