Time (s),Vehicle speed (km/h),Road grade (%),Cumulative distance (m)
0.0,11.002324425108764,0.0,0.0
1.0,11.002324425108764,0.0,3.0562012292044844
2.0,13.002747047855811,0.0,6.390238933691398
3.0,14.002958359229336,0.0,10.141031351101955
4.0,16.00338098197638,0.0,14.308578482167999
5.0,16.00338098197638,0.0,18.75396208778463
6.0,14.002958359229336,0.0,22.921509219216595
7.0,16.00338098197638,0.0,27.089056349550795
8.0,18.00380360472343,0.0,31.812276431181697
9.0,19.004014916096956,0.0,36.95225122573624
10.0,19.004014916096956,0.0,42.231144257932
11.0,19.004014916096956,0.0,47.51003729012776
12.0,18.00380360472343,0.0,52.65001208468231
13.0,18.00380360472343,0.0,57.65106864159564
14.0,19.004014916096956,0.0,62.79104343615018
15.0,19.004014916096956,0.0,68.06993646798003
16.0,19.004014916096956,0.0,73.34882950054171
17.0,19.004014916096956,0.0,78.62772253273747
18.0,19.004014916096956,0.0,83.90661556493323
19.0,18.00380360472343,0.0,89.04659035948777
20.0,18.00380360472343,0.0,94.0476469164011
21.0,18.00380360472343,0.0,99.04870347331443
22.0,18.00380360472343,0.0,104.04976002986184
23.0,18.00380360472343,0.0,109.0508165871411
24.004,18.00380360472343,0.0,114.0718773701079
25.0,19.004014916096956,0.0,119.1912922658765
26.0,19.004014916096956,0.0,124.47018529734042
27.0,19.004014916096956,0.0,129.7490783299021
28.0,19.004014916096956,0.0,135.02797136209784
29.0,19.004014916096956,0.0,140.30686439429363
30.003999999999998,19.004014916096956,0.0,145.60687299910558
31.000000000000004,19.004014916096956,0.0,150.86465045868513
32.0,19.004014916096956,0.0,156.1435434908809
33.0,19.004014916096956,0.0,161.42243652307667
34.0,19.004014916096956,0.0,166.7013295549065
35.0,19.004014916096956,0.0,171.98022258746818
36.0,19.004014916096956,0.0,177.25911561966393
37.0,19.004014916096956,0.0,182.5380086518597
38.0,21.004437538844,0.0,188.09473815933788
39.0,21.004437538844,0.0,193.92930414246442
40.0,21.004437538844,0.0,199.76387012559096
41.0,21.004437538844,0.0,205.59843610871752
42.0,21.004437538844,0.0,211.43300209184406
43.0,21.004437538844,0.0,217.2675680749706
44.0,21.004437538844,0.0,223.10213405809714
45.0,21.004437538844,0.0,228.93670004122367
46.0,21.004437538844,0.0,234.7712660243502
47.0,21.004437538844,0.0,240.60583200747675
48.0,21.004437538844,0.0,246.4403979906033
49.0,21.004437538844,0.0,252.27496397372983
50.0,21.004437538844,0.0,258.10952995685636
51.0,21.004437538844,0.0,263.9440959399829
52.0,21.004437538844,0.0,269.77866192310944
53.0,21.004437538844,0.0,275.613227906236
54.0,23.004860161591054,0.0,281.725630364645
55.0,21.004437538844,0.0,287.83803282305394
56.0,19.004014916096956,0.0,293.3947623305321
57.0,19.004014916096956,0.0,298.67365536272786
58.0,19.004014916096956,0.0,303.9525483949236
59.0,19.004014916096956,0.0,309.23144142675346
60.0,19.004014916096956,0.0,314.5103344593152
60.0,19.004014916096956,0.0,319.7892274915109
61.0,19.004014916096956,0.0,325.0681205237067
62.00000000000001,19.004014916096956,0.0,330.34701355553653
63.0,21.004437538844,0.0,335.9037430633806
64.0,21.004437538844,0.0,341.73830904650714
65.0,21.004437538844,0.0,347.5728750296337
66.0,21.004437538844,0.0,353.4074410127603
67.0,21.004437538844,0.0,359.2420069958868
68.0,21.004437538844,0.0,365.07657297901335
69.0,19.004014916096956,0.0,370.6333024864915
70.0,19.004014916096956,0.0,375.91219551868727
71.0,18.00380360472343,0.0,381.05217031324185
72.0,18.00380360472343,0.0,386.05322687015513
73.0,18.00380360472343,0.0,391.05428342706847
74.0,18.00380360472343,0.0,396.0553399839818
75.0,18.00380360472343,0.0,401.05639654089515
76.0,18.00380360472343,0.0,406.0574530978085
77.0,19.004014916096956,0.0,411.197427892363
78.0,19.004014916096956,0.0,416.47632092455876
79.0,19.004014916096956,0.0,421.7552139567545
80.0,21.004437538844,0.0,427.31194346423274
81.0,21.004437538844,0.0,433.1465094473593
82.0,21.004437538844,0.0,438.9810754301199
83.0,21.004437538844,0.0,444.81564141361235
84.0,21.004437538844,0.0,450.6502073967389
85.0,21.004437538844,0.0,456.48477337986543
86.0,21.004437538844,0.0,462.31933936262607
87.0,21.004437538844,0.0,468.1539053461185
88.004,21.004437538844,0.0,474.01180959315707
89.0,21.004437538844,0.0,479.8230373123716
90.0,21.004437538844,0.0,485.6576032954981
90.0,21.004437538844,0.0,491.49216927862466
91.0,21.004437538844,0.0,497.3267352617512
92.0,21.004437538844,0.0,503.16130124487773
93.0,21.004437538844,0.0,508.9958672280043
94.0,21.004437538844,0.0,514.8304332111309
95.0,19.004014916096956,0.0,520.387162718609
96.0,19.004014916096956,0.0,525.6660557508047
97.0,19.004014916096956,0.0,530.9449487830005
98.0,19.004014916096956,0.0,536.2238418151964
99.0,19.004014916096956,0.0,541.502734847758
100.0,18.00380360472343,0.0,546.6427096423125
101.0,14.002958359229336,0.0,551.0880932479291
102.0,13.002747047855811,0.0,554.8388856657057
103.0,11.002324425108764,0.0,558.1729233701925
104.0,11.002324425108764,0.0,561.229124599397
105.0,10.00211311373524,0.0,564.1464075909603
106.0,8.001690490988192,0.0,566.646935869234
107.0,5.00105655686762,0.0,568.4528729593017
108.0,3.000633934120572,0.0,569.5642188604313
109.004,2.000422622747048,0.0,570.2615884141294
110.0,0.0,0.0,570.538313543215
111.0,2.000422622747048,0.0,570.8161500188634
112.0,3.000633934120572,0.0,571.5107412074354
113.0,5.00105655686762,0.0,572.622087108931
114.0,5.00105655686762,0.0,574.0112694857091
115.0,5.00105655686762,0.0,575.4004518621213
116.0,3.000633934120572,0.0,576.5117977639828
117.0,2.000422622747048,0.0,577.2063889525548
118.0,2.000422622747048,0.0,577.7620619034856
119.0,2.000422622747048,0.0,578.3177348544164
120.004,2.000422622747048,0.0,578.8756304970088
120.004,2.000422622747048,0.0,579.4335261396014
121.0,2.000422622747048,0.0,579.9869763985046
122.0,2.000422622747048,0.0,580.5426493494354
122.99999999999999,3.000633934120572,0.0,581.2372405380073
124.00000000000001,3.000633934120572,0.0,582.0707499645864
125.00000000000001,2.000422622747048,0.0,582.7653411527925
126.0,2.000422622747048,0.0,583.3210141037233
127.0,2.000422622747048,0.0,583.8766870546541
128.0,2.000422622747048,0.0,584.4323600055849
129.0,2.000422622747048,0.0,584.9880329565157
130.0,2.000422622747048,0.0,585.5437059074465
131.0,2.000422622747048,0.0,586.0993788583771
132.0,2.000422622747048,0.0,586.6550518093079
133.004,2.000422622747048,0.0,587.2129474519005
134.0,2.000422622747048,0.0,587.7663977108036
135.0,2.000422622747048,0.0,588.3220706617344
136.0,2.000422622747048,0.0,588.8777436126652
137.0,2.000422622747048,0.0,589.433416563596
138.0,0.0,0.0,589.7112530388783
1713.0,0.0,0.0,589.7112530388783
1714.0,2.000422622747048,0.0,589.9890895137949
1715.0,3.000633934120572,0.0,590.6836807027328
1716.0,6.001267868241144,0.0,591.9339448418697
1717.0,6.001267868241144,0.0,593.6009636942961
1718.0,8.001690490988192,0.0,595.5458190220049
1719.0,10.00211311373524,0.0,598.0463473002786
1720.0,11.002324425108764,0.0,600.9636302918419
1721.0,13.002747047855811,0.0,604.2976679963288
1722.0,13.002747047855811,0.0,607.9095421760982
1723.0,14.002958359229336,0.0,611.6603345942406
1724.0,16.00338098197638,0.0,615.8278817249407
1725.0,16.00338098197638,0.0,620.2732653309232
1726.0,18.00380360472343,0.0,624.9964854125541
1727.0,18.00380360472343,0.0,629.9975419694674
1728.0,18.00380360472343,0.0,634.9985985263808
1729.0,18.00380360472343,0.0,639.9996550832941
1730.0,18.00380360472343,0.0,645.0007116402074
1731.0,18.00380360472343,0.0,650.0017681974867
1732.0,18.00380360472343,0.0,655.0028247540341
1733.0,18.00380360472343,0.0,660.0038813109475
1734.0,16.00338098197638,0.0,664.7271013925783
1735.0,16.00338098197638,0.0,669.1724849985609
1736.0,16.00338098197638,0.0,673.6178686045434
1737.0,16.00338098197638,0.0,678.06325221016
1738.0,16.00338098197638,0.0,682.5086358165086
1739.0,16.00338098197638,0.0,686.9540194224911
1740.0,16.00338098197638,0.0,691.3994030284737
1741.0,16.00338098197638,0.0,695.8447866344562
1742.0,18.00380360472343,0.0,700.5680067160871
1743.0,18.00380360472343,0.0,705.5690632730004
1744.0,18.00380360472343,0.0,710.5701198299138
1745.0,18.00380360472343,0.0,715.5711763868271
1746.0,18.00380360472343,0.0,720.5722329433745
1747.0,18.00380360472343,0.0,725.5732895006538
1748.0,18.00380360472343,0.0,730.574346057567
1749.0,18.00380360472343,0.0,735.5754026144804
1750.0,18.00380360472343,0.0,740.5764591713937
1751.0,18.00380360472343,0.0,745.577515728307
1752.0,18.00380360472343,0.0,750.5785722852204
1753.0,16.00338098197638,0.0,755.3017923668513
1754.0,16.00338098197638,0.0,759.7471759728338
1755.0,14.002958359229336,0.0,763.914723103534
1756.0,14.002958359229336,0.0,767.8044337589516
1757.0,14.002958359229336,0.0,771.6941444143694
1758.0,14.002958359229336,0.0,775.5838550694211
1759.0,14.002958359229336,0.0,779.4735657252047
1760.0,13.002747047855811,0.0,783.2243581429813
1761.0,11.002324425108764,0.0,786.5583958474681
1762.0,10.00211311373524,0.0,789.4756788390314
1763.0,8.001690490988192,0.0,791.9762071173051
1764.0,8.001690490988192,0.0,794.1988989202964
1765.0,8.001690490988192,0.0,796.4215907232876
1766.0,8.001690490988192,0.0,798.6442825266448
1767.0,8.001690490988192,0.0,800.8669743292702
1768.0,8.001690490988192,0.0,803.0896661322615
1769.0,10.00211311373524,0.0,805.5901944105352
1770.0,10.00211311373524,0.0,808.3685591644572
1771.0,10.00211311373524,0.0,811.1469239183793
1772.0,10.00211311373524,0.0,813.9252886723013
1773.0,10.00211311373524,0.0,816.7036534262235
1774.0,10.00211311373524,0.0,819.4820181801455
1775.0,10.00211311373524,0.0,822.2603829340676
1776.0,11.002324425108764,0.0,825.1776659256308
1777.0,11.002324425108764,0.0,828.2338671548353
1778.0,11.002324425108764,0.0,831.2900683840397
1779.0,11.002324425108764,0.0,834.3462696132443
1780.0,11.002324425108764,0.0,837.4024708424488
1781.0,11.002324425108764,0.0,840.4586720716533
1782.0,11.002324425108764,0.0,843.5148733008577
1783.0,10.00211311373524,0.0,846.432156292421
1784.0,10.00211311373524,0.0,849.210521046343
1785.0,10.00211311373524,0.0,851.9888857998992
1786.0,10.00211311373524,0.0,854.7672505541872
1787.0,10.00211311373524,0.0,857.5456153081092
1788.004,10.00211311373524,0.0,860.3350935214378
1789.0,10.00211311373524,0.0,863.1023448159533
1790.0,10.00211311373524,0.0,865.8807095698754
1791.0,10.00211311373524,0.0,868.6590743241634
1792.0,10.00211311373524,0.0,871.4374390777194
1793.0,10.00211311373524,0.0,874.2158038316416
1794.0,10.00211311373524,0.0,876.9941685855636
1795.0,10.00211311373524,0.0,879.7725333394857
1796.0,10.00211311373524,0.0,882.5508980934077
1797.0,10.00211311373524,0.0,885.3292628473298
1798.0,10.00211311373524,0.0,888.1076276012518
1799.0,10.00211311373524,0.0,890.8859923551739
