Time (s),Vehicle speed (km/h),Road grade (%),Cumulative distance (m)
0.0,16.00338098197638,0.0,0.0
1.0,18.00380360472343,0.0,4.723220081996824
2.0,18.00380360472343,0.0,9.724276638544234
3.0,18.00380360472343,0.0,14.725333195091643
4.0,19.004014916096956,0.0,19.865307989646187
5.0,19.004014916096956,0.0,25.14420102220787
6.0,18.00380360472343,0.0,30.284175816762417
7.0,16.00338098197638,0.0,35.00739589875924
8.0,16.00338098197638,0.0,39.45277950474179
9.0,14.002958359229336,0.0,43.62032663617376
10.0,13.002747047855811,0.0,47.371119053584316
11.0,13.002747047855811,0.0,50.98299323298774
12.0,13.002747047855811,0.0,54.59486741239115
13.0,10.00211311373524,0.0,57.78998687923686
14.0,10.00211311373524,0.0,60.568351633524834
15.0,8.001690490988192,0.0,63.06887991179854
16.0,8.001690490988192,0.0,65.29157171552166
17.0,8.001690490988192,0.0,67.51426351924478
18.0,8.001690490988192,0.0,69.73695532296789
19.0,6.001267868241144,0.0,71.68181065067674
20.0,6.001267868241144,0.0,73.34882950237132
21.0,8.001690490988192,0.0,75.29368483154384
22.0,11.002324425108764,0.0,77.93313134636101
23.0,13.002747047855811,0.0,81.26716905121384
24.0,13.002747047855811,0.0,84.87904323061726
25.0,13.002747047855811,0.0,88.49091741002069
26.0,14.002958359229336,0.0,92.24170982743124
27.0,14.002958359229336,0.0,96.13142048284892
28.0,14.002958359229336,0.0,100.02113113826663
29.0,13.002747047855811,0.0,103.77192355567718
30.003999999999998,13.002747047855811,0.0,107.39824523271156
30.003999999999998,13.002747047855811,0.0,111.02456690974593
31.000000000000004,13.002747047855811,0.0,114.62199359298208
32.0,13.002747047855811,0.0,118.23386777238551
33.0,10.00211311373524,0.0,121.4289872392312
34.004,8.001690490988192,0.0,123.93951763034869
35.0,8.001690490988192,0.0,126.15331866596114
36.0,8.001690490988192,0.0,128.37601046968425
37.0,5.00105655686762,0.0,130.18194755938597
38.0,2.000422622747048,0.0,131.15437522250855
39.0,0.0,0.0,131.43221169852282
40.0,2.000422622747048,0.0,131.7100481745371
41.0,2.000422622747048,0.0,132.26572112510195
42.0,3.000633934120572,0.0,132.96031231367394
43.004,5.00105655686762,0.0,134.07610359812716
44.0,5.00105655686762,0.0,135.45972924575085
45.0,3.000633934120572,0.0,136.57107514688056
46.0,3.000633934120572,0.0,137.4045845734597
47.0,3.000633934120572,0.0,138.23809400003884
48.0,3.000633934120572,0.0,139.07160342661797
49.0,3.000633934120572,0.0,139.9051128531971
50.0,3.000633934120572,0.0,140.73862227977622
51.0,3.000633934120572,0.0,141.57213170635535
52.0,3.000633934120572,0.0,142.40564113293448
53.0,2.000422622747048,0.0,143.10023232150647
54.004,2.000422622747048,0.0,143.6581279644649
55.0,2.000422622747048,0.0,144.21157822409987
56.0,2.000422622747048,0.0,144.76725117466475
57.0,2.000422622747048,0.0,145.3229241252296
58.0,2.000422622747048,0.0,145.87859707579446
59.0,2.000422622747048,0.0,146.43427002635931
60.0,0.0,0.0,146.7121065023736
64.0,0.0,0.0,146.7121065023736
65.0,2.000422622747048,0.0,146.98994297838786
66.0,2.000422622747048,0.0,147.5456159289527
67.0,0.0,0.0,147.823452404967
86.0,0.0,0.0,147.823452404967
87.0,2.000422622747048,0.0,148.10128888098126
88.0,2.000422622747048,0.0,148.6569618315461
89.0,2.000422622747048,0.0,149.21263478211097
90.0,3.000633934120572,0.0,149.90722597068296
91.0,5.00105655686762,0.0,151.0185718718127
92.0,6.001267868241144,0.0,152.5466724869638
93.0,6.001267868241144,0.0,154.21369133865838
94.0,6.001267868241144,0.0,155.88071019035297
95.0,5.00105655686762,0.0,157.4088108055041
96.0,3.000633934120572,0.0,158.5201567066338
97.0,0.0,0.0,158.93691141919152
100.0,0.0,0.0,158.93691141919152
101.0,2.000422622747048,0.0,159.2147478952058
102.0,2.000422622747048,0.0,159.77042084577064
103.0,2.000422622747048,0.0,160.3260937963355
104.0,2.000422622747048,0.0,160.88176674690035
105.0,2.000422622747048,0.0,161.43743969746524
106.0,0.0,0.0,161.7152761734795
150.004,0.0,0.0,161.7152761734795
151.0,3.000633934120572,0.0,162.13036386893756
152.0,3.000633934120572,0.0,162.963873294053
153.0,3.000633934120572,0.0,163.79738272063213
154.0,6.001267868241144,0.0,165.04764685976897
155.0,8.001690490988192,0.0,166.99250218747784
156.0,8.001690490988192,0.0,169.21519399120095
157.0,3.000633934120572,0.0,170.74329460635207
158.0,2.000422622747048,0.0,171.43788579492406
159.0,0.0,0.0,171.71572227093833
160.0,2.000422622747048,0.0,171.9935587469526
161.0,3.000633934120572,0.0,172.68814993552462
162.0,5.00105655686762,0.0,173.79949583665433
163.0,5.00105655686762,0.0,175.1886782137983
164.004,5.00105655686762,0.0,176.58341732192628
165.0,5.00105655686762,0.0,177.96704296808628
166.0,6.001267868241144,0.0,179.49514358323742
167.0,6.001267868241144,0.0,181.162162434932
168.0,5.00105655686762,0.0,182.6902630500831
169.0,5.00105655686762,0.0,184.0794454272271
170.0,5.00105655686762,0.0,185.4686278043711
171.0,5.00105655686762,0.0,186.85781018151508
