,Value,pepsi_1,pepsi_2,pepsi_3,average
0,Mean,822.1312872034016,825.2437749439362,826.7219457398002,824.6990026290459
1,Standard Deviation,2.752937690476527,7.320269598822862,6.3139344418818535,1.9133076256847914
